outcome,timepoint,condition,n,mean,sd_assuming_ci,sd_assuming_sem
discomfort,postinduction,distinction,18,23.934816627744,8.854054434488615,17.353946691597688
discomfort,postinduction,hierarchy,18,23.43327330134161,10.345311218499,20.276809988258037
discomfort,postintervention,distinction,18,24.832869762263343,8.758022438996113,17.16572398043238
discomfort,postintervention,hierarchy,18,15.679623988413317,9.798934941991536,19.20591248630341
anxiety,postinduction,distinction,18,20.16208859193268,9.007920014668153,17.655523228749576
anxiety,postinduction,hierarchy,18,23.359297667656513,9.69449928407884,19.001218596794526
anxiety,postintervention,distinction,18,19.847030896276134,13.887549074104474,27.219596185244765
anxiety,postintervention,hierarchy,18,18.271742417993337,13.60855813288362,26.672773940451894
stress,postinduction,distinction,18,17.184179273761902,7.625915743993647,14.946794858227548
stress,postinduction,hierarchy,18,20.6984482414511,10.308078064767832,20.20383300694495
stress,postintervention,distinction,18,21.759890859481573,10.26197649284428,20.113473925974787
stress,postintervention,hierarchy,18,11.800818553888128,9.929754232284564,19.462318295277743
